id	text	to	btnText						
11	“I suppose the only thing worse than having your image summoned at will by twelve-year-olds would be if they also had an entire record of your consciousness. Solving the problem of lack of access to others’ internality doesn’t fix the possibility of misinterpretation.” “And the only thing that would stop that would be if we all thought the same thing?” “Which isn’t something I want,” Elizabeth said. “On a practical level, a single consciousness connecting everybody means no diversity of ideas.” She sat back on the bench. Given the alternatives, this is pretty good, she thought. It's not like I can really change the nature of my existence, but I also don’t want to wake up every day hating the fact that I’m real and living on my little sensory island. Having no more to say to Vergil, she looked back and saw that he was gone.	23	Back to start						
12	“Everything about my ability to feel empathy and other various biological needs for other people suggests that even if I didn’t believe people were also conscious, then I’d better behave like I believe it so I don’t get kicked out of society,” Elizabeth said.  “But disregarding the threat of living the rest of your life unhappily, can you believe it?” Vergil asked.  “Given what I know about how my consciousness is generated—from a bunch of electricity and molecules moving in my brain—why should I think that everyone else, who all have the same thing going on, wouldn’t also be conscious?” Elizabeth asked.  “Supposing consciousness isn’t caused by all that?” Vergil asked.  “Supposing you suggest a disprovable alternative hypothesis?” Elizabeth asked.  “Would a friend talk to a friend like that?” Vergil asked.  “Anyway, if I built a replica of myself with the same brain and body as I have in this instant, but they didn’t seem to be alive in the same way I am right now, then that would suggest that consciousness is caused by something more than the physical,” Elizabeth said.  “But you can’t do that. And how can we test if someone is conscious?” Vergil asked. “Could someone act exactly like a conscious person but not be conscious? Why do you need to be aware of the planning and pain and whatnot associated with being alive?”  “Somehow I’m arguing your point now,” Elizabeth said.	13	“I don’t know! We’ve reached the limits of my ability to theorize!” she said.	14	“I don’t know if someone could tell me about their self-identity if they didn’t have the ability to think about it,” she said.				
13	Elizabeth sat and fumed and was angry with herself for being the way she was while also being utterly unable to explain the way she was. Existence felt to her like starting an algebra problem and having the paper taken away from her before she could finish.  “Why am I the way I am and not some other way?” she asked.  “Do you want to be some other way?” Vergil asked.  “That’s not even the right question! The right question is ‘What’s the use of knowing?’ My god, I’m sick of asking the wrong questions and going around in circles because I don’t even know enough to begin,” Elizabeth said.  "Regardless, do you want to be some other way?"  "Am I able to be—?"  "Do you want to?"  Elizabeth looked at him, and her mouth twisted in sheer disgust.	23	Back to start						
14	“What if they knew a lot about it?” Vergil asked.  “But how could they form new ideas as an automatic process?” Elizabeth said. “It’s hard to imagine thinking without being conscious, without the experience of having free will rather than a brain that outputs muscle movement due to a combination of stimuli.”  “People talk in their sleep,” Vergil said.  “Huh,” Elizabeth. “Like being asleep. You know, sometimes I think there’s some higher plane of consciousness that I could reach if I could just find the door in my mind. Or at the back of the grocery store or wherever.”  "We could be going at this completely wrong," said Vergil. "Maybe there is no real reality out there somewhere. Maybe this is all that reality is."  "Shoulda made the roads less circular if we're the ones writing reality," Elizabeth said.	23	Back to start						
15	Having nothing more to say, Vergil was gone. Elizabeth knew this was when Beatrice should appear to her.  Bud Abbott showed up.  "Come on," Elizabeth said. "He's like, the evil version of Vergil. He tries to confuse you and then he gets angry when you're confused."  "Beatrice also showed up and started yelling at the other poet," Abbott said.  "That had a purpose. You're just doing it to get a laugh," Elizabeth said. "And for some reason there's never anyone around to see any of this, so you're not getting an audience here."  "An audience of one is larger than none," Abbott said.  	64	Elizabeth really, really didn’t want to wait for the bus anymore.	21	Elizabeth was stuck with him forever.				
16	“But you and I have about the same dimension of character as some guy we’d drag into this story at random. How will the reader know he’s not just another guy I’m making up? Well, I guess leaving things open to interpretation—”  “Hang on, I thought you were the metaphorical representation of the reader,” said Vergil.  “I thought you were,” said Elizabeth.  They looked at each other.	17	They started arguing about who was the reader.	18	They argued about the reader’s expectations, whoever that was.				
17	“It is you,” Elizabeth insisted. “I’m creating reality, and you’re a part of it. You don’t control the narrative except to the point I think it’s productive to pretend that you do.”  “How do you know I’m not interpreting the story completely differently from how you’re writing it? In trying to make me a complete person, you’ll be trying to see how I’ll interpret the story—that interpretation is also a form of writing.”  “Hm. This would be more compelling if I could prove you were a real person,” said Elizabeth, "and that your interpretation isn’t something I, the writer, am creating so I have a 'you' to talk to."  “I’m not addressing that. Furthermore, what sense does it make for the surrogate reader to be represented by Vergil?” Vergil asked. “The literary reference implies a guide, human reason, a knowledge base. If the reader already knows everything, what’s the point in writing for them?”  “Maybe the name was just a poor choice on my part,” said Elizabeth.	19	Vergil suddenly appeared to her as Bud Abbott.	20	That didn’t happen.				
18	“I think the reader—whoever that actually is and not whichever one of us is supposed to represent them—won’t get it,” Elizabeth said. “Due to the nonlinear nature of this manifesto, it’s hard enough to hold everything in mind at the same time. To add another character would add another conceptual element to juggle. Maybe we should make a diagram or something.”  “If this is for the same person who tried to get you to marry me, I think drawing a door and pointing to it would be a good place to start,” Vergil said.  “You picked up on my cue line,” Elizabeth said. She realized that if Bud Abbott could melt into Vergil, there was little reason he couldn’t melt into her. The muscles in her face involuntarily twitched with disgust.  “Regardless, it’s useless to predict exactly what the reader is thinking,” Vergil said. “There are infinite possibilities, and who are we writing for if not ourselves?”  “We live in a society with established literary conventions and history,” Elizabeth said. “If we were really writing for ourselves, we would invent some kind of consciousness-tape-recorder that could record our conversation in its original medium.”  “Translation isn’t necessarily a selfless act. Insight is gained from the change in medium,” Vergil said. “And you've created meaning for yourself, if nobody else, by connecting your thoughts with extant literary history."  “Ok, you think the story needs another character, and that the story is such conceit that we may as well ring the bell as long as we’ve gone up to it. Didn’t we have some guy in here somewhere? A gym teacher?” Elizabeth asked.	51	Elizabeth successfully wrestled her concept of Bud Abbott into a box and threw it off a bridge.	52	Elizabeth was unable to refrain from acknowledging Bud Abbott’s presence in her mind.				
19	“Oh, god,” Elizabeth said, and turned away from him. “This is so much worse.” Then she realized she could prevent him from getting a word in edgewise if she talked to herself.  “It’s not just that burlesque is such a violent performance art—I know he can’t slap me, but I feel like I’m chaining a dog when I prevent him. My mental image of Bud Abbott requires that he shove his comic around. But it’s not just that.  “Vergil was, in hindsight, obviously not an arbitrary choice. For all Vergil’s failings, he and the other guy were working towards a similar goal. When Vergil yelled at him, it was justified because it advanced his ulterior literary argument.”  “You aren’t going to come out here and tell these people that old wheeze about the author and the idolized imaginary figure, are you?" Abbott butted in. "Every little schoolgirl knows that one."  “And another thing. Who are ‘these people’? I don’t think my head has room for another audience member. I don’t want to get bullied by Bud Abbott just to get a laugh from nobody.”  “Who says the goal of this is to get a laugh?” Abbott asked. “This sketch is the reality we inhabit. We’re going to talk about sandwiches until the girls are ready to come onstage.”	64	Elizabeth really, really didn’t want to wait for the bus anymore.	21	Elizabeth was stuck with him forever.				
20	“Or maybe I’d like to believe that the work I’m putting in is being heard by someone whose respect I want. I want to show that I’m worth having you as an audience.”  “Is admitting your vanity really better than just accepting you’re supposed to be the reader?”  “If I don’t take myself seriously, who will? Wait, if I’m writing for myself, then I guess I am the reader no matter what I do. Dang,” Elizabeth said.  Vergil was slumped over again. “I guess we’ve discovered that we’re all the writer and the reader. How post-modern and touchingly human. Man, whatever happened to the dichotomy of good and evil?” he mumbled into his hand. “You used to love that stuff.”  “Look, you can pretend this stuff is easy because I’m doing all the legwork. All you have to do is ask vague questions and say derisive stuff so I’ll keep chasing after your approval. I had to learn how to touch-type for this nonsense.”  	77	“You can't be doing this for me. Really, why carry on like this for so long?" asked Vergil.	46	“Why do you want my approval? I’m an extension of you. I can’t post on Goodreads,” Vergil said.				
21	“If I’m the author, then who’s doing this?” Elizabeth asked the empty street. “Do I hate myself this much? Do I subconsciously think this will be good for my character development?”  “C’mon, an easy one,” Abbott prodded. “I heard a man made a lightbulb that uses only 10 watts.”  “Am I the reader and thus powerless to stop this?” she said, slumping backwards on her elbows and blocking most of the sidewalk. “Is there some force at work here which is beyond my perception? I didn’t factor a mysterious force into any of my deductions about the impossibility of true human connection. C'mon, I wanna leave."	23	Back to start	22	What about character development?				
22	“What character development? I’m a person. I have a right to never pursue self-improvement. Hang on, I thought there wasn’t an audience in here. That choice wasn’t dialogue, or a stage direction, or anything. That was just a question designed to provoke me. Hm. If Bud Abbott somehow got into the bones of this story, I’m going to do something I’ll regret.”	65	Reveal yourself to be Bud Abbott	66	Reveal that you aren’t Bud Abbott				
23	You have created an imaginary friend. Why do you think this story is told through a choose-your-own adventure format? 	24	Because maximizing relatability and customizability will make this a more marketable property	25	Because “you” are also an imaginary friend, and this format upholds the illusion of free choice despite your paths’ containment within the thoughts and decisions of the author, much as an imaginary friend is contained within the mind of its creator. Thus the format of the story reflects the contradictions of its theme	26	The author is too indecisive to write a single ending for this story	27	None of the above
24	Correct. The author shields himself from counter-arguments by arguing every argument on the epistemological value of imaginary friends. Which argument do you most want to watch this author shadow-box with himself?	28	Imaginary friends can be useful mental images but are ultimately harmful	29	Imaginary friends are usually discarded after age seven				
25	Correct. Having acknowledged that you cannot create your own paths in this story, do you wish to continue in this sham of a reality?	33	Yes	34	No	35	To answer this question is to embrace the format; the only true way to reject the fixed nature of this story is to shut this book and go set fire to something valuable		
26	Incorrect. Although there is no “last word” to this story, the shape of its arms and legs suggests a cohesive argument, or at least, a definite set of questions. Unless I was too wishy-washy. Did you think I was too wishy-washy?	36	Yes	36	Yes, and you also fish for compliments				
27	Correct.	23	Back to start						
28	A thinker can’t deduce everything about life from a very limited knowledge base. So, creating a person who seems to represent a complex internality but who is actually just a face put to a section of the thinker’s thoughts implies that all people are, on the most atomic level, like the thinker. Which is not a reflection of reality or a desired hypothetical reality.  <p><button id="28a" onclick="nextPara('28a', '28b')">Can you think of another way to think about this?</button></p>  <p id="28b" class="hidden">But trying to see things from another point of view is essential, and treating other perspectives with as much tenderness as “friend” encourages open-mindedness. Even if true knowledge of others is impossible, attempting to understand others is nonetheless vital. Imaginary friends do not preclude actually talking to people.</p>  <p><button id="28c" onclick="nextPara('28c', '28d')"</button>Why did you put the “against” opinion first?'</button></p>  <p id="28d" class="hidden">Why don’t you make up a version of me in your head and answer that yourself?</p>	23	Back to start						
29	I think kids are onto something. Do I mean anything when I spend so much of my life unwitnessed? I guess, in a nutshell, I wish I had a friend in here with me. But even with you with me—who’s to say that our ability to perceive can be worried into anything more than an unintended output of the ceaseless recombination of the matter of the universe?   Regardless of the uselessness of my attempts to be witnessed, I am compelled. Consider this the message in a bottle I throw into the river of linear time. Watch the arc of my wrist become encased in terminal amber. You are not here with me, and when you see this I will not be there with you. I trust that you are there, that you will write all over these pages, and that I’ll never read it. We will not know each except by our impressions on each other.  <p><button id="29a" onclick="nextPara('29a', '29b')">Feel comfort</button></p>  <p id="29b" class="hidden">Cold comfort.</p>  <p><button id="29c" onclick="nextPara('29c', '29d')">Feel as if a large dog has slobbered on you</button></p>  <p id="29d" class="hidden">My apologies for wielding “we” so generally.</p>	30	Can you think of another way to think about this?						
30	I suppose I don’t know everything about the nature of reality. Maybe the bloom will curl back into a bud. Maybe I’ll see you on the shore.	32	Can you think of another way to think about this?	31	I’m not your savior				
31	I suppose you’re not. You’re not an abstraction in my brain, able to transcend physical laws, you’re somebody reading this and giving me one-star reviews on Goodreads. You’re on the same one-way trip as me. Maybe “you” and “I” aren’t, but then, the vessel of “you” and “I” will decay sometime. I think you’ve seen that evidenced in the previous four sentences.  You have created an imaginary friend. Why do you think this story is told through a choose-your-own adventure format?	62	<button id='31a' class='hidden'>The author is obsessed with an escapist fantasy wherein all paths are known and explorable; mistakes and oversteps are reversible; and he has a friend to walk with.</button>
32	No—If all my observers, all of my physical evidence of existence, are moving in linear time, then we’re all in the same boat. Unless you imagine that I’m not. Then the imaginary “me” that lives in your brain is free to wander about time within the constraints of your imagination. Until the rubber hits the road, anyway.  You have created an imaginary friend. Why do you think this story is told through a choose-your-own adventure format?	23	ASK FOR HELP	23	ASK FOR HELP				
33	Why? Do you think this story is an accurate reflection of reality, and thus not a “sham?” Do you think you’ll find answers here?  You may be asking, why leave this as an option when it’s so incomprehensible to me? Do I care so much about the illusion of free will that I’d let you perform actions that go against the philosophical argument I’m building? Does this guy ever get sick of rhetorical questions as a device to put words in your mouth?	23	Back to start						
34	I see you’re a man of few words. You’ve so succinctly expressed how, despite our attempts to find “truth,” the inescapability of our interpretation of reality means that, regardless of our attempts to find a place of meaning rather than our own hopeless, dazed spinning, we are forever wandering halls full of locked doors. Unless you were just hoping clicking “no” would close the webpage. Fine. Whatever.	23	Get out of here if it's so terrible.						
35	As a reader who has reflected so deeply on this story, you may be asking, why not have some fill-in-the-blank response so that the reader can truly choose what to say?   A: I think the structure of the blank would mean your answer still wouldn’t be truly, freely chosen.   You may say, why not just give out a blank page and retire at age 25 because you’re such a radical and cost-cutting artist?   A: I think the page would just be a larger blank since the medium would suggest the form of your response.   You may say, ok, if you won’t do anything that’s not completely ideologically pure, how do you leave the house each morning?	23	Back to start						
36	On a scale of one to five stars, what did you think about the inability to disagree with me in the previous question?	37	Yes						
37	I’m glad to hear it.   You have created an imaginary friend. Why do you think this story is told through a choose-your-own adventure format?	27	None of the above						
38	“Why are you provoking me?” Elizabeth said. “I thought you didn’t like when I get into moral panics because I’m so unimaginative and illogical.”  “Run with it,” Vergil said.  “If my thoughts and feelings find physical expression no matter what I do—whether that’s in the ripples in my brain or the appearance of another choice—then I don’t really have a choice in the story I present about myself.”  “Other people can’t read your mind,” Vergil said. “And everyone will interpret you differently.”  “But the way I act comes naturally to me. I don’t have enough energy to pretend to be someone else. And it’s harsh medicine to say that I have no choice in what people think of me anyway, because they’ll just think whatever they want,” she said. She tilted her head. “But I guess I have no choice in seeing other people through my eyes, and neither do they have a choice in using their own particular brain instead of someone else’s.”	41	“All we’ve done is establish that, yes, even when an imaginary friend is so close as to be living in your own brain, people are isolated from each other by design,” Elizabeth said.	42	“Did we do that? Were there no other options?” Vergil asked.				
39	He gestured a hand, glad to be somewhere away from where they were before. “If you had to think of every possible sound you could make to someone else every time you wanted to speak, it would take too long for practical communication.”  “Hm,” Elizabeth said. “But removing choices means missing out on the opportunity for insights.”	40	“I’ve got a funny feeling about this,” Elizabeth said.						
40	“It’s like I exist in a structure that only appears at the edges of my awareness. Does a goldfish living in a round bowl think it’s swimming in a straight line and that the world is wrapped around itself? Or does it think it’s swimming in a circle?”  “In other words, are you actually unable to progress from moral panic into coherent argument due to the nature of the world, or are you trapped going in logical circles due to your own mind?"	23	Back to start						
41	“I’ve shown I’m lonely, but we’ve laid no ground rules on how to communicate well across the yawning chasms between our perceptual spheres,” Elizabeth said. “And it took like four hours to state the obvious in the most roundabout and annoying way possible.” She looked up the street. She mused on paths not taken and “opportunity costs,” a term she’d read in The New York Times once that had given her nightmares. When the headlights of the bus inexorably came for her, she left alone.	23	Back to start						
42	“Quit reading my mind,” Elizabeth said.  “I suggest you think very hard about why I might be doing this,” Vergil said.  “No,” Elizabeth said. “That would give up the game. If our motivations aren’t vague enough, there’s no puzzle to the story. I’m going to think about a blue elephant instead so that neither of us are able to understand ourselves.”  “Whoever is witnessing this interaction will have some understanding of you and will incorporate your abstention—the blanks you leave, the thoughts you ignore—into their understanding of you. There’s no way to escape interpretation short of the void of nonexistence.”  “Why am I so stuck on this?” Elizabeth asked. “Why do you need to keep repeating the facts of existence to me?”	47	“Your fear of existing as nothing more than the fractured pieces in the minds of your observers is something I can understand,” Vergil said.	48	“Do I not really exist?” Elizabeth said.				
43	Elizabeth got off the bench and didn’t look to see Vergil’s expression before she left. She walked with her backpack all down the wide, loud thoroughfare. At one point the sidewalk stopped and she walked in the ditch by the rushing cars and let the noise fill her head like blood. She stopped at a place with no crosswalk and jaywalked when there were no cars coming. She looked left and right and left again then looked straight ahead while she crossed.  She walked down twisting neighborhood roads facing the oncoming traffic and wove her way around cars parked on the street. She saw three deer scatter into obscurity. She got home and went to her room and sat down on her bed where she could see the edges of a purple sunset through the window. Somewhere behind her lungs the memory of the afternoon was crystalizing into a small hard object, like a gallbladder or kidney stone.	23	Back to start						
44	Elizabeth waited for the bus and didn’t speak any more. If Vergil was still there, she neither noticed nor cared. The bus came, with headlights flashing against the darkening pavement. She walked up the steps.  When she sat down and the bus started moving, no wash of transcendence came across her face in turquoise light. She was on the bus, like she was every day. The mundanity burned with the heat of a slap. She didn’t know what the bus was meant to be; it was a bus; a very palpable bus. She had no answers. No answers appeared to her from the chaos or the claustrophobic strictness of middle school. She imagined herself as a caterpillar that had only ever been in metamorphosis. Not sure why it had become what it was now and not certain it ever was or would be anything else.  “It” felt correct. In her mind’s eye, she watched the lump of her brain travel down the road at 35 MPH and take the world with it. It turned a corner and disappeared.	23	Back to start						
45	refer to startup	23	x						
46	“Connect the dots,” Elizabeth said. “The audience is unknowable; a horizon to chase; the best I can do is build a shrine to them in my brain and pretend I create anything that will justify my taking up space.”  “Was abstracting the concept of an audience into a god and then molding your life around it honestly the best solution you had to feeling insecure?”  “At some point, this story could have been different.” She looked back for him. Vergil was gone. It was as easy as that. She clawed her way back into her own life, but a close observer would notice that she tended to move as if making space for a person standing just behind her.	23	Back to start						
47	“But if I’m unable to change the form of my existence—why does it still seem horrific?” she asked.  “Why on earth should one affect the other?”  “Say there’s a car about to kill me. I’d be afraid, because I’d be about to die. And I don’t want to die, and I don’t know what’ll happen when I do die, but I know I’m going to, and there’s nothing I can do to stop it. So why should I be afraid? Why not think, ‘Fantastic, into the unknown with me’ and accept that I’m getting killed by a Ford Wrangler?”  “You just said why you would be afraid: ‘I’d be afraid, because I’d be about to die.’ Why should you be afraid? Maybe you have no good reason to. But can you turn that feeling off like a lightswitch?”  “Now who would create a conscious creature who finds its very existence frightening beyond belief, and then make it unable to find relief from that fear?”  “I thought you were writing this story,” Vergil said.  “Very pithy,” Elizabeth said. “Sure, I’ll just do brain surgery on myself. I’ll locate the ‘positive mindset’ switch where I determine that I enjoy living as a person despite the fact that it feels like sitting in a dark cardboard box that people keep kicking at random, and that I know somebody is someday going to drop off a bridge.” She sat and looked at the changing sky. The sky was blazing purple. The rest of the world was gray and slightly grainy in the low light.	43	Elizabeth left the bus stop and walked home.	44	Elizabeth waited for the bus.				
48	“Well, I think that’s just about the only thing you can be sure of,” said Vergil. “What are you doing here, witnessing yourself, if you don’t exist?”  “But someone looking at me has no way of proving I exist,” Elizabeth said.  “Two-way street,” Vergil said. “How are you so sure that they exist? For that matter, why was your first instinct to be more certain of their perceptions of you than your own existence?” He muttered something about modern middle schools that Elizabeth ignored.  “I guess I have no reason to doubt their existence, or they of me. So, we’re all real for now. But they can’t completely know me—and while I wouldn’t want to be completely known, I still wonder if those unexpressed pieces of myself are nonexistent. Let’s say I have a long and involved mental relationship with a dead poet.”  “For the sake of argument,” Vergil said, pinching the bridge of his nose.  “And I don’t tell anyone. And I die. Did that even happen if it left no discernible mark on the world?”  “You’re trying to make me argue for my own existence,” Vergil said. “But the fact that the activity in your brain to generate me did, in fact, occur, does not mean that I’m a complete consciousness.”	49	“But if this is happening, then doesn’t it mean something?” Elizabeth asked.	50	“But if nobody else can prove it happened, did it happen?” Elizabeth asked.				
